Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
"42155167603,Jeans femininos calças Jeans macacão Multi-bolso calças Cargo de perna larga atacado,""136,00"",69,AIA Preferred（Cadeia em cuba，relógi,15%,""R$20,40"",https://shopee.com.br/product/972897528/42155167603,https://s.shopee.com.br/1qY68kJ5ZZ"
"23694368547,Saia Jeans Feminina Mídi longa Cintura Alta Marmorizada com Fenda Tecido Grosso Azul Claro Premium,""65,99"",739,Up Jeans,13%,""R$8,58"",https://shopee.com.br/product/1258110309/23694368547,https://s.shopee.com.br/1LbpXpKzaU"
"22394550759,Macacão Academia Forrado Feminino Longo Fitness com Costas Abertas e de Alças Cruzadas em Suplex,""62,90"",1mil+,Bellare | Moda Fitness,16%,""R$10,06"",https://shopee.com.br/product/1612501137/22394550759,https://s.shopee.com.br/1VvFk8KMFX"
"19099840296,CONJUNTO FEMININO SHORTS + COLETE NOVA TENDENCIA 2026  PRIMAVERA VERÃO,""49,99"",2mil+,MODAS ALFRE,18%,""R$9,00"",https://shopee.com.br/product/1553995251/19099840296,https://s.shopee.com.br/2LUMjfHBYi"
"58256213429,Blusa Feminina Cropped Manga 3 Quartos Brasil Copa Elegante Casual Tricot Básico,""59,90"",713,Alpi'Store,13%,""R$7,79"",https://shopee.com.br/product/1576223142/58256213429,https://s.shopee.com.br/2VnmvyGYDl"
"22697734408,Vestido Longo Liso  Feminina Bicolor com forrto Casual Tecido Duna,""78,00"",7mil+,tony modal loja,17%,""R$13,26"",https://shopee.com.br/product/401461677/22697734408,https://s.shopee.com.br/20rWL3ISEg"
"23598815780,Macaquinho Suplex Feminino Fitness Moda Casual Alças Finas Trancadas nas costas Justo Confortável,""46,90"",10mil+,Moving Fitnes,3%,""R$1,41"",https://shopee.com.br/product/492286672/23598815780,https://s.shopee.com.br/2BAwXMHotj"
"58255542708,Conjunto Feminino Elegante Premium Blusa Oversized + Calça Pantalona Moda Casual Look Moderno e Confortável Aerolook,""79,90"",603,Use moriah,8%,""R$6,39"",https://shopee.com.br/product/738171750/58255542708,https://s.shopee.com.br/8AS9gNuyiu"
"23498379918,Blusa de frio feminina estilo blogueira com trança tendência 2025 blusa tricot manga bufante,""49,41"",4mil+,AUSTRALISMODAS,15%,""R$7,41"",https://shopee.com.br/product/290234225/23498379918,https://s.shopee.com.br/808jU4vc3t"
"19399309726,Calça Pantalona Feminina em Alfaiataria Cargo Wide Leg Casual Para Trabalhar,""62,89"",10mil+,Gata Pink,16%,""R$10,06"",https://shopee.com.br/product/1269511225/19399309726,https://s.shopee.com.br/8V504zti30"
